id,timestamp,Axes_Z_aaTorque
i1,2023-04-28 17:19:50.000,-0.14300000000000002
i1,2023-04-28 17:19:51.000,-0.289
i1,2023-04-28 17:19:51.000,0.368
i1,2023-04-28 17:19:51.000,0.589
i1,2023-04-28 17:19:52.000,0.723
i1,2023-04-28 17:19:52.000,0.78
i1,2023-04-28 17:19:52.000,0.742
i1,2023-04-28 17:19:52.000,-0.36
i1,2023-04-28 17:19:53.000,-0.386
i1,2023-04-28 17:19:53.000,0.853
i1,2023-04-28 17:19:53.000,-0.188
i1,2023-04-28 17:19:53.000,0.937
i1,2023-04-28 17:19:54.000,0.317
i1,2023-04-28 17:19:54.000,-0.099
i1,2023-04-28 17:19:54.000,-0.298
i1,2023-04-28 17:19:54.000,-0.395
i1,2023-04-28 17:19:55.000,-0.136
i1,2023-04-28 17:19:55.000,0.171
i1,2023-04-28 17:19:55.000,0.9540000000000001
i1,2023-04-28 17:19:55.000,-0.312
i1,2023-04-28 17:19:56.000,-0.635
i1,2023-04-28 17:19:56.000,0.47800000000000004
i1,2023-04-28 17:19:56.000,0.8250000000000001
i1,2023-04-28 17:19:56.000,0.513
i1,2023-04-28 17:19:57.000,0.734
i1,2023-04-28 17:19:57.000,-0.018000000000000002
i1,2023-04-28 17:19:57.000,0.968
i1,2023-04-28 17:19:58.000,1.137
i1,2023-04-28 17:19:58.000,0.991
i1,2023-04-28 17:19:58.000,0.741
i1,2023-04-28 17:19:58.000,0.373
i1,2023-04-28 17:19:59.000,0.032
i1,2023-04-28 17:19:59.000,-0.313
i1,2023-04-28 17:19:59.000,-0.307
i1,2023-04-28 17:19:59.000,-0.11
i1,2023-04-28 17:20:00.000,0.23700000000000002
i1,2023-04-28 17:20:00.000,0.705
i1,2023-04-28 17:20:00.000,1.037
i1,2023-04-28 17:20:00.000,1.203
i1,2023-04-28 17:20:01.000,0.37
i1,2023-04-28 17:20:01.000,-8.091
i1,2023-04-28 17:20:01.000,-1.572
i1,2023-04-28 17:20:01.000,0.381
i1,2023-04-28 17:20:02.000,-0.115
i1,2023-04-28 17:20:02.000,-0.21
i1,2023-04-28 17:20:02.000,-0.188
i1,2023-04-28 17:20:02.000,-0.093
i1,2023-04-28 17:20:03.000,-0.092
i1,2023-04-28 17:20:03.000,1.183
i1,2023-04-28 17:20:03.000,1.1480000000000001
i1,2023-04-28 17:20:04.000,0.01
i1,2023-04-28 17:20:04.000,0.015
i1,2023-04-28 17:20:04.000,0.004
i1,2023-04-28 17:20:04.000,0.057
i1,2023-04-28 17:20:05.000,0.038
i1,2023-04-28 17:20:05.000,0.079
i1,2023-04-28 17:20:05.000,0.077
i1,2023-04-28 17:20:05.000,0.074
