id,timestamp,Axes_Y_aaTorque
i1,2023-04-28 17:20:05.000,0.462
i1,2023-04-28 17:20:05.000,0.461
i1,2023-04-28 17:20:06.000,0.462
i1,2023-04-28 17:20:06.000,0.465
i1,2023-04-28 17:20:06.000,0.466
i1,2023-04-28 17:20:07.000,0.467
i1,2023-04-28 17:20:08.000,0.466
i1,2023-04-28 17:20:09.000,0.467
i1,2023-04-28 17:20:09.000,0.47000000000000003
i1,2023-04-28 17:20:10.000,0.47100000000000003
i1,2023-04-28 17:20:10.000,0.47000000000000003
i1,2023-04-28 17:20:12.000,0.467
i1,2023-04-28 17:20:12.000,0.466
i1,2023-04-28 17:20:12.000,0.468
i1,2023-04-28 17:20:13.000,0.47000000000000003
i1,2023-04-28 17:20:13.000,0.467
i1,2023-04-28 17:20:13.000,0.992
i1,2023-04-28 17:20:14.000,0.681
i1,2023-04-28 17:20:14.000,0.6910000000000001
i1,2023-04-28 17:20:14.000,0.6900000000000001
i1,2023-04-28 17:20:15.000,0.683
i1,2023-04-28 17:20:15.000,0.6910000000000001
i1,2023-04-28 17:20:15.000,0.8310000000000001
i1,2023-04-28 17:20:15.000,0.812
i1,2023-04-28 17:20:16.000,0.8180000000000001
i1,2023-04-28 17:20:16.000,0.838
i1,2023-04-28 17:20:16.000,0.774
i1,2023-04-28 17:20:16.000,0.808
i1,2023-04-28 17:20:17.000,0.6980000000000001
i1,2023-04-28 17:20:17.000,0.9380000000000001
i1,2023-04-28 17:20:17.000,0.779
i1,2023-04-28 17:20:17.000,0.778
i1,2023-04-28 17:20:18.000,0.672
i1,2023-04-28 17:20:18.000,0.675
i1,2023-04-28 17:20:18.000,0.611
i1,2023-04-28 17:20:18.000,0.687
i1,2023-04-28 17:20:19.000,0.64
i1,2023-04-28 17:20:19.000,0.647
i1,2023-04-28 17:20:19.000,0.649
i1,2023-04-28 17:20:19.000,0.646
i1,2023-04-28 17:20:20.000,0.65
i1,2023-04-28 17:20:20.000,0.657
i1,2023-04-28 17:20:21.000,0.649
i1,2023-04-28 17:20:21.000,0.651
i1,2023-04-28 17:20:21.000,0.65
i1,2023-04-28 17:20:21.000,0.658
i1,2023-04-28 17:20:22.000,0.653
i1,2023-04-28 17:20:22.000,0.649
i1,2023-04-28 17:20:22.000,0.651
i1,2023-04-28 17:20:22.000,0.647
i1,2023-04-28 17:20:23.000,0.652
i1,2023-04-28 17:20:23.000,0.635
i1,2023-04-28 17:20:23.000,0.663
i1,2023-04-28 17:20:23.000,0.639
i1,2023-04-28 17:20:24.000,0.65
i1,2023-04-28 17:20:24.000,0.562
i1,2023-04-28 17:20:24.000,0.68
